HOLEID,TCU
10003386,0.631
10003387,1.244
10003388,0.717
10003389,0.696
10003390,0.573
10003391,0.906
10003392,0.905
10003393,0.664
10003394,1.021
10003395,0.703
10003396,0.949
10003397,1.028
10003398,0.815
10003399,1.113
10003400,1.486
10003401,1.377
10003402,1.524
10003403,1.583
10003404,1.558
10003405,1.364
10003406,0.928
10003407,1.024
10003528,0.836
10003529,0.741
10003530,0.604
10003531,0.623
10003532,1.203
10003533,0.956
10003540,0.758
10003541,0.804
10003542,0.811
10003543,0.573
10003544,0.756
10003545,1.197
10003546,0.335
10003547,0.123
10003548,0.292
10003549,0.703
10003550,0.845
10003551,1.015
10003534,1.033
10003535,0.979
10003536,0.769
10003537,0.708
10003538,0.829
10003539,1.163
10003552,1.116
10003553,1.044
10003554,1.283
10003555,1.025
10003556,1.074
10003557,1.433
10003558,1.032
10003559,0.649
10003560,0.566
10003561,0.391
10003562,0.16
10003563,0.106
10003564,0.177
10003565,0.131
10003566,0.236
10003567,0.305
10003568,0.748
10003569,1.16
10003570,1.558
10003571,0.973
10003572,1.041
10003573,1.279
10003574,1.2
10003575,1.256
10003576,1.53
10003577,1.237
10003578,1.319
10003579,0.763
10003580,0.75
10003581,0.307
10003582,0.124
10003583,0.182
10003584,0.561
10003585,0.256
10003586,0.287
10003587,0.327
10003588,0.314
10003589,0.394
10003590,0.489
10003591,0.618
10003592,1.452
10003593,1.137
10003594,1.336
10003595,1.295
10003596,1.121
10003597,0.834
10003598,0.77
10003438,0.904
10003439,1.098
10003440,0.953
10003441,1.229
10003444,0.352
10003445,0.341
10003447,0.291
10003448,0.309
10003449,0.354
10003450,0.293
10003453,0.238
10003454,0.172
10003455,0.133
10003456,0.264
10003459,0.316
10003460,0.247
10003461,0.245
10003462,0.235
10003463,0.274
10003464,0.19
10003465,0.199
10003466,0.289
10003467,0.266
10003468,0.247
10003469,0.279
10003472,0.224
10003473,0.151
10003474,0.187
10003475,0.285
10003484,0.208
10003485,0.205
10003486,0.181
10003487,0.168
10003436,0.879
10003437,1.022
10003442,0.951
10003443,0.842
10003451,0.455
10003452,0.898
10003457,0.28
10003458,0.422
10003470,0.291
10003471,0.333
10003476,0.28
10003477,0.334
10003478,0.208
10003479,0.265
10003480,0.35
10003481,0.292
10003482,0.23
10003483,0.204
10003488,0.16
10003489,0.139
10003490,0.194
10003491,0.236
10003492,0.245
10003493,0.265
10003494,0.285
10003495,0.249
10003496,0.361
10003497,0.266
10003498,0.338
10003499,0.37
10003500,0.349
10003501,0.225
10003502,0.34
17001987,0.0
17001988,0.0
17001989,0.0
17001048,0.499
17001049,0.865
17001050,0.225
17001051,0.157
17001052,0.228
17001053,2.583
17001069,0.297
17001070,0.17
17001071,0.429
17001072,0.284
17001073,0.181
17001074,0.224
17001075,0.076
17001076,0.074
17001077,0.232
17001078,0.231
17001079,0.11
17001080,0.131
17001081,0.132
17001082,0.15
17001083,0.275
17001084,0.155
17001085,0.627
17001086,0.282
17001087,0.233
17001088,0.305
17001089,0.28
17001090,0.246
17001091,0.196
17001092,0.217
17001093,0.18
17001094,0.249
17001095,0.169
17001096,0.187
17001097,0.13
17001098,0.104
17001099,0.142
17001100,0.124
17001101,0.131
17001102,0.107
17001103,0.097
17001104,0.175
17001105,0.131
17001011,0.913
17001027,0.96
